line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,"Tokuma Shoten, Nippon Television Network,",41,5,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
2,In ancient times the land,25,5,neutral,0.0,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.6890875915976693,2
3,Here dwelt the spirits,22,4,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
4,PRINCESS MONONOKE,17,2,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6892267599312442,1
5,Yakul!,6,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6249623998702142,3
6,Ashitaka!,9,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6249844193068635,3
7,Oracle says to get back to the village.,39,8,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.4558690512277928,5
8,"The Old Man, too.",17,4,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6869209199654271,1
9,- Somethings wrong.,19,2,negative,-0.4767,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.6891780481751749,2
10,The animals too.,16,3,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
11,Ill go to him. Youd better go now.,34,8,neutral,0.0258,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.685712632613986,1
12,Somethings coming.,18,2,neutral,0.0,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.6888427412994579,2
13,- What is it?,13,3,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
14,Oracle summoned everyone,24,3,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6890194486309282,1
15,There!,6,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
16,A demon god!,12,3,positive,0.3382,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.4368405816649029,6
17,"Yakul, run!",11,2,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.689038511282694,3
18,Itll attack the village!,24,4,negative,-0.5255,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6891067774253322,1
19,Ashitaka!,9,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6249844193068635,3
20,Dont touch it!,14,3,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6847099003043363,0
21,Yakul!,6,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6249623998702142,3
22,"Quiet your rage, I beg you!",27,6,negative,-0.5983,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.7252009854711627,2
23,O forest god who cannot be,26,6,positive,0.2732,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.47630269004029513,2
24,- A monster!,12,2,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
25,Stop! Leave our village in peace!,33,6,positive,0.3987,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6050265200848436,1
26,Stop! Still your rage!,22,4,negative,-0.7494,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.5306001888945832,2
27,Get up!,7,2,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6249505758831088,0
28,- Its down!,11,2,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
29,Bring Oracle!,13,2,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.4071816365104622,6
30,Stoke the fire!,15,3,negative,-0.4003,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6883737735105574,3
31,Ashitaka.,9,1,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6249844193068635,3
32,Dont touch it.,14,3,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6847099003043363,0
33,Hes hurt! Wheres Oracle?,24,4,negative,-0.5707,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.5643595144292257,1
34,"All of you, stay back!",22,5,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6853196852532824,0
35,Oracle!,7,1,neutral,0.0,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6248689909689938,1
36,"Pour this water on it, slowly.",30,6,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6890033043457056,0
37,O raging god unknown to us...,29,6,negative,-0.3182,3,"god, san, deer, forest, theyre, still, hes, eat, boar, bring",0.6249778366535346,2
38,...I bow before you.,20,4,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.6203635621177787,3
39,"Where you have fallen, we will",30,6,negative,-0.3612,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.25,4
40,Bear us no hate. Be at peace.,29,7,negative,-0.34,2,"eboshi, lady, youre, wait, head, cant, man, kill, sir, ill",0.6892198757700059,1
41,"Hear me, loathsome humans!",26,4,neutral,0.0,0,"ashitaka, stop, give, yakul, come, thank, even, would, life, tribe",0.41276685339420083,4
42,You shall know,14,3,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6249340480808768,0
43,"This is very, very bad.",23,5,negative,-0.6214,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.6246772278786481,0
44,The boar-spirit came from far to the west.,42,9,neutral,0.0,1,"dont, look, get, humans, okkoto, shes, help, stay, let, live",0.5999252150015841,0
