line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,This is a,9,3,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
2,I ll see you really can borrow,30,7,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.5833317433561049,3
3,English come,12,2,neutral,0.0,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.4363147333067488,0
4,I borrowed my brother s dictionary,34,6,neutral,0.0,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.4006068391631515,6
5,Then you try to look at it,26,7,neutral,0.0,2,"live, must, two, right, work, give, done, late, dad, wind",0.3887103947159406,4
6,Good,4,1,positive,0.4404,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.5833327696353056,2
7,Stop,4,1,negative,-0.296,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.5833310949359225,5
8,You guys want to do,19,5,positive,0.0772,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.5831097736968104,0
9,You go first,12,3,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.5831824603411337,3
10,Jiro What do you mean ah,24,6,neutral,0.0,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.42468560170763364,2
11,Do not bully low--grade classmates,34,6,positive,0.3875,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
12,Outrageous thing I dare tube,28,5,negative,-0.4588,1,"thank, come, think, naoko, smoke, little, one, caproni, say, always",0.5833220721084594,1
13,Looks like a very brave thing,29,6,positive,0.7346,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.6546425797874,3
14,I just do not accidentally fall,31,6,positive,0.2584,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.5833268590736687,5
15,Remember that it is wrong to fight,34,7,negative,-0.6908,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.6543720765430607,2
16,Understand,10,1,neutral,0.0,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.583267092390505,5
17,Go refreshments refreshments old place,38,5,neutral,0.0,2,"live, must, two, right, work, give, done, late, dad, wind",0.654553610767501,4
19,A brother Jiro,14,3,neutral,0.0,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6527499734572073,0
20,Society put Laila,17,3,neutral,0.0,2,"live, must, two, right, work, give, done, late, dad, wind",0.6546565331942781,4
21,Jiro catching dragonflies ah brother with us,44,7,neutral,0.0,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6527499734572073,0
22,Jiro brother,12,2,neutral,0.0,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6527499734572073,0
23,Go Well Together,16,3,positive,0.2732,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.5833283908993918,5
24,You promised me to join me in,29,7,positive,0.5719,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.5833247593537761,2
25,I want to review ah,19,5,positive,0.0772,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.4183811794926139,5
26,You are not in review,21,5,neutral,0.0,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.5833271455375126,5
27,This is an English magazine to come,35,7,neutral,0.0,2,"live, must, two, right, work, give, done, late, dad, wind",0.5483028174011763,4
28,His beard is so strange,23,5,negative,-0.3327,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.5833246364751865,2
29,He is a famous Italian Caproni aircraft designer named Earl still seems a,73,13,neutral,0.0,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.765019389067991,2
30,Jiro brother s face broke,25,5,negative,-0.4215,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6914249652343193,0
31,Do not nosy friends,19,4,negative,-0.3724,2,"live, must, two, right, work, give, done, late, dad, wind",0.5833268587329971,4
32,I want to paint red syrup to help you paint,43,10,positive,0.4588,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6534306041257476,0
33,OK you quiet it,15,4,positive,0.4466,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
34,Jiro brother are you doing it,29,6,neutral,0.0,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6527499734572073,0
35,You can not come up Kayo,24,6,neutral,0.0,1,"thank, come, think, naoko, smoke, little, one, caproni, say, always",0.6508470982801955,1
36,How you do not wear glasses ah,30,7,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
37,I look at the stars ah because something far better for the eyes,64,13,positive,0.4404,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.41937112858840436,3
38,This will be your mom scolded,29,6,neutral,0.0,1,"thank, come, think, naoko, smoke, little, one, caproni, say, always",0.5833203513620662,1
39,Watch a meteor,14,3,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
40,Look there ah,13,3,neutral,0.0,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.5833320461905495,2
41,Really beautiful ah,19,3,positive,0.6361,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.583331474004821,3
42,There are also,14,3,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.5833318418089712,3
43,There and where there are too,29,6,neutral,0.0,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
44,I am a Japanese teenager ah,27,6,neutral,0.0,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.6544419757066057,5
45,This is supposed to be my dream a dream come,44,10,positive,0.4588,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.48067765077365016,0
46,This should be my dream now,27,6,positive,0.25,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.5828777425535607,0
47,This is my dream,16,4,positive,0.25,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.5828777425535607,0
48,Your dream you this Japanese teenager you want to say that we dream together it,79,15,positive,0.5106,5,"japanese, line, yes, stop, soon, miles, okay, idea, agents, tired",0.3767898862540386,6
49,"Really wonderful ah , I know you are Caproni Earl",49,9,positive,0.6115,1,"thank, come, think, naoko, smoke, little, one, caproni, say, always",0.7193810126076023,1
50,Can I am very happy to meet you,31,8,positive,0.6115,2,"live, must, two, right, work, give, done, late, dad, wind",0.5833243555896295,4
51,Really interesting this is indeed a dream world of dreams,57,10,positive,0.7713,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.740902487671328,2
52,Welcome to my kingdom,21,4,positive,0.4588,4,"jiro, back, please, want, time, brother, yeah, dream, way, sorry",0.6547644293379058,0
53,I am deeply honored,19,4,positive,0.624,0,"know, also, see, beautiful, love, first, person, get, trouble, herring",0.16666666666666669,6
54,Look,4,1,neutral,0.0,3,"good, yeah, look, aircraft, let, take, village, problem, design, honjo",0.5833320461905495,2
55,"They went to the bombing of enemy cities , half people may not come",67,13,negative,-0.5423,2,"live, must, two, right, work, give, done, late, dad, wind",0.6447905217027311,4
