line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,A Team Nanban Release,21,4,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.7548547245820063,1
2,The Beginning,13,2,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
3,PONYO ON THE CLIFF BY THE SEA,29,7,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.4914025710380733,4
4,Producer Toshio Suzuki,22,3,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
5,Animation Katsuya Kondo,23,3,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
6,Color design Michiyo Yasuda,27,4,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.6651583122098392,2
7,Music Joe Hisaishi,18,3,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
8,Songs performed by,18,3,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
9,Voices,6,1,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
10,Yuki Amami,10,2,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
11,Yuria Nara Rumi Hiiragi,23,4,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
12,Kazuko Yoshiyuki,16,2,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
13,Written and Directed by,23,4,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
14,"Sosuke, come right back!",24,4,neutral,0.0,1,"shes, dont, fish, thats, come, thank, lets, going, ill, hot",0.4784792947387161,0
15,Okay.,5,1,positive,0.2263,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.6664360399659711,2
16,A goldfish...,13,2,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.666272664770826,2
17,Its stuck.,10,2,negative,-0.25,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
18,That was weird.,15,3,negative,-0.1779,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.3333333333333333,6
20,Is it dead?,11,3,negative,-0.6486,1,"shes, dont, fish, thats, come, thank, lets, going, ill, hot",0.6651523099383804,3
21,It licked me... its alive.,26,5,positive,0.3818,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.7227747910988238,2
22,"Sosuke, were leaving!",21,3,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.5108356464172054,4
23,"Lisa, I caught a goldfish!",26,5,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.5935634949826558,2
24,This wind feels strange...,26,4,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.7218534651002442,1
25,Did you find her?,17,4,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.6651215902324692,1
26,"What, captured by a human?",26,5,neutral,0.0,0,"ponyo, sosuke, lisa, look, little, love, want, ham, human, girl",0.666037014277909,1
27,This is bad... very bad.,24,5,negative,-0.5849,1,"shes, dont, fish, thats, come, thank, lets, going, ill, hot",0.6660600926697026,3
28,Are you dead?,13,3,negative,-0.6486,1,"shes, dont, fish, thats, come, thank, lets, going, ill, hot",0.6651523099383804,3
29,Youre alive!,12,2,positive,0.4389,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.44803916131327925,4
30,Sosuke! Im going to be late!,28,6,neutral,0.0,1,"shes, dont, fish, thats, come, thank, lets, going, ill, hot",0.48824282314141293,5
31,Lisa! I caught a goldfish.,26,5,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.5935634949826558,2
32,A goldfish?,11,2,neutral,0.0,2,"good, right, jerk, okay, sea, thanks, see, yes, koichi, shipshape",0.666272664770826,2
