line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,"Sophie,",7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
2,we just closed the shop.,24,5,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6248126215654538,2
3,Why dont you come out,21,5,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6856202029861704,3
4,"No, I better finish this.",25,5,positive,0.1779,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6883617331996114,3
5,You go and have fun.,20,5,positive,0.5106,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6247577680481157,2
6,"All right, suit yourself.",25,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6846962196924391,4
7,"Lets go, girls.",15,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6846866949619562,4
8,Wait for me!,12,3,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6249244945870341,1
9,Do I look OK?,13,4,positive,0.4466,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249704158605615,4
10,Where?,6,1,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
11,Ive never seen it so close!,27,6,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.4618151537257492,6
12,Do you think Howl,17,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6864043317778213,2
13,Hes gone.,9,2,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6884295344014252,4
14,"No, hes just hiding in",22,5,negative,-0.5267,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249626316139554,4
15,Did you hear what happened to,29,6,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6891064696801138,1
16,They say Howl has,17,4,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.46316021795704254,3
17,Now Im too scared,17,4,negative,-0.4404,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6246709380230159,2
18,What?,5,1,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
19,Dont worry. He only,19,4,positive,0.3412,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6715758168340498,4
20,"All right, lets go.",19,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6863243721823812,4
21,You girls are so mean.,22,5,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.683775659990726,1
22,Its not funny.,14,3,negative,-0.3412,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
23,Hey. Looks like a little,24,5,positive,0.3612,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6821899856338729,1
24,"Oh, no, Im not lost.",20,5,negative,-0.0613,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
25,This little mouse looks thirsty.,32,5,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7211296275330245,1
26,We should take her,18,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249429742464391,4
27,"No thanks, my sisters",21,4,positive,0.1779,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6249129199777291,1
28,Shes pretty cute for a mouse.,29,6,positive,0.7351,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7495168748304791,1
29,"How old are you, anayway?",25,5,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.624919570462215,4
30,Leave me alone.,15,3,negative,-0.296,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.689134968828259,3
31,You see? Your moustache,23,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249360588434201,4
32,So? Shes even cuter,19,4,positive,0.552,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6892409064159448,1
33,"There you are, sweetheart. Sorry Im",35,6,positive,0.6124,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6249420568932038,3
34,"Hey, were busy here.",20,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
35,It looked to me like the,24,6,positive,0.3612,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
36,Hup!,4,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6247388099817837,2
37,Hup!,4,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6247388099817837,2
38,What? Hey!,10,2,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
39,Dont hold it against them.,26,5,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6822211110107974,3
40,Theyre actually not all that bad.,33,6,positive,0.431,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6892583064838285,3
41,Where to? Ill be your,21,5,negative,-0.4215,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6249601708410959,1
42,Im just going to the bakery.,28,6,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6249618531738825,3
43,"Dont get alarmed,",17,3,positive,0.2584,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6771063622811822,1
44,Act normal.,11,2,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6246912683404123,4
45,Sorry. Looks like youre involved...,35,5,positive,0.296,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.48765155091544593,5
46,This way.,9,2,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6249242804677556,3
47,Hold on...,10,2,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6248798730309144,3
48,"Now, straighten your",20,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
49,"See? Not so hard, is it?",24,6,positive,0.2502,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6887235405610923,4
50,You are a natural.,18,4,positive,0.3612,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.624713186364475,3
51,Ill make sure to draw them off.,31,7,negative,-0.128,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.508421312035001,6
52,But wait a bit before,21,5,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.4247586946070929,5
54,Thats my girl.,14,3,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6862498118131443,2
55,"Excuse me, could we trouble",27,5,negative,-0.34,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.7164427599927805,3
56,There you go. Do you any,24,6,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
57,Id buy those.,13,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
58,What time do you get off?,25,6,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.421101423830314,6
59,She what?,9,2,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
60,"Hey, Im over here.",18,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
61,Sophie?,7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
62,Lettie.,7,1,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6248918440754524,1
63,Someone just told me you,24,5,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6889018069192925,3
64,So that did happen.,19,4,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6246967750273629,3
65,"Lettie, would you",17,3,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.4132209452081108,5
66,I should really get back to,27,6,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6891420969275625,1
67,Wow. He must have,17,4,positive,0.5859,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6883611235417508,2
68,But he was so kind to me.,25,7,positive,0.7935,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249125146432523,4
69,"He rescued me, Lettie.",22,4,positive,0.4215,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6248918440754524,1
70,Of course he did. He was,24,6,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6248667730875489,4
71,"You are so lucky, Sophie.",25,5,positive,0.5598,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
72,"If that wizard were Howl,",25,5,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.4729987844374444,4
73,"No, he wouldnt.",15,3,negative,-0.296,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6247383970741236,3
74,Howl only does that,19,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249905522181544,2
75,Dont give me that.,18,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6719113777687689,4
76,You need to be more careful.,28,6,positive,0.2247,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6249416608255317,1
77,Even the Witch of the Waste,27,6,negative,-0.6486,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7252024048940743,1
78,Are you listening?,18,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
79,"Lettie, the chocolate,",22,3,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6248918440754524,1
80,OK. Ill be right there.,23,5,neutral,0.0343,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6618180178809,1
81,Thanks.,7,1,positive,0.4404,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6249129199777291,1
82,All right. I better get going then.,35,7,positive,0.4404,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.4436399286956885,5
83,I just wanted to make sure,26,6,positive,0.3182,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.39644756425041355,6
84,"Hello, Lettie.",14,2,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6891658702491753,1
85,"Now Sophie, do you really want to spend",39,8,positive,0.1513,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.4391047183240844,3
86,The shop was just,17,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6248126215654538,2
87,"And Im the eldest,",18,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
88,Im not asking what Father,25,5,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
89,I want to know what you want.,29,7,positive,0.1531,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.4981930766431529,5
90,Well...,7,1,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
91,"See you later, Lettie.",22,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.3179625855198846,0
92,Good seeing you again.,22,4,positive,0.4404,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.624964925410169,3
93,I better be going.,18,4,positive,0.4404,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6890850383256146,3
94,Do something for yourself,25,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
95,"Im sorry, but the shops",23,5,neutral,-0.0387,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6881009149890616,3
96,I could have sworn I locked,27,6,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6249149282103976,3
97,What a tacky shop.,18,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6890677777175294,2
98,Ive never seen such,19,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.4618151537257492,6
99,Yet youre by far,16,4,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7226999800558186,1
100,Im afraid you will,18,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249339016795669,2
101,"The doors over here, maam.",26,5,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6248997507866249,4
102,Standing up to the,18,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6247490150132881,4
103,thats plucky.,13,2,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249710055070589,2
104,The Witch of the Waste?,23,5,negative,-0.6486,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6890110684585832,1
105,The best part of that spell is,30,7,positive,0.6369,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7249000407699534,1
106,My regards to Howl...,21,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249905522181544,2
107,Oh... no.,9,2,negative,-0.296,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
108,"Thats really me, isnt it?",25,5,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6880573037880169,2
109,Ive got to stay calm.,21,5,positive,0.3182,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.7490238884232749,2
110,Ive got to stay calm!,21,5,positive,0.3802,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.7490238884232749,2
111,"Now, theres no use",18,4,negative,-0.296,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6881325117094014,2
112,"Its a bad dream, thats all.",27,6,negative,-0.3612,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.5513516169256034,3
113,"Just go inside, go to bed.",26,6,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6889589184596305,1
114,"Youre gonna be fine, Sophie.",28,5,positive,0.2023,0,"right, look, please, hes, help, fire, give, one, yes, take",0.42534005919493484,0
115,Got to stay calm.,17,4,positive,0.3182,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.7247654692216242,2
116,Look whos here!,15,3,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.4249630816391,0
117,Youre back! You here,20,4,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6887909314194663,1
118,What do you think?,18,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249605633101076,2
119,Its gorgeous!,13,2,positive,0.6476,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6246969104016321,3
120,I know! Our customers,21,4,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.624966476689432,1
121,Sophie!,7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
122,Im afraid your daughter hasnt,29,5,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249339016795669,2
123,Thats strange. I wonder,23,4,negative,-0.2023,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.7235857889824568,2
124,Sophie!,7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
125,Sophie!,7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
126,Sophie!,7,1,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6249885956303995,2
127,Dont come in here.,18,4,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6856202029861704,3
128,Ive got a bad cold.,19,5,negative,-0.5423,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.5765000351155717,2
129,I dont want you to catch it.,28,7,negative,-0.0572,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6844486018981476,3
130,"You sound ghastly, like",23,4,positive,0.3612,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
131,Ill just stay in bed,20,5,negative,-0.4215,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.5160107549039689,6
132,Well...,7,1,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
133,If you insist.,14,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
134,Up we go.,9,3,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.25,0
135,"This isnt so bad now, is it?",28,7,positive,0.5549,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.39980983447087814,0
136,Youre still in pretty,21,4,positive,0.4939,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7227270525310581,1
137,And your clothes finally suit you.,34,6,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.7219168725021746,4
138,But you cant stay here,22,5,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.4268415174307325,0
139,Being old is worse,18,4,negative,-0.4767,0,"right, look, please, hes, help, fire, give, one, yes, take",0.624919570462215,4
140,They say their prince,21,4,neutral,0.0,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6881374706887552,3
141,And theyre blaming us.,22,4,negative,-0.4939,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6249171195926285,3
142,Yeah and it sounds like,23,5,positive,0.5719,0,"right, look, please, hes, help, fire, give, one, yes, take",0.624874323203373,4
143,Nobody wants to go to war.,26,6,negative,-0.5994,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.41276969198629976,0
144,Lets hope the prince,20,4,positive,0.4404,0,"right, look, please, hes, help, fire, give, one, yes, take",0.7041155576884153,4
145,"Excuse me, could",16,3,positive,0.0772,3,"come, cant, calcifer, dont, good, going, want, sorry, lady, whats",0.6891100936316167,3
146,"Ill be fine, but thanks",23,5,positive,0.5187,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7206284701131195,1
147,That was really kind.,21,4,positive,0.5709,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6249125146432523,4
148,"Sure, theres room in the back if you",36,8,positive,0.3182,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.5994095611472272,2
149,Just a little ways farther,26,5,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.688477441267366,1
150,Youre crazy if you,18,4,negative,-0.34,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.6683078509995724,1
151,Theres nothing but witches,26,4,neutral,0.0,1,"howl, sophie, thats, ive, think, theres, got, sure, time, afraid",0.6876413987031179,2
152,Thank you.,10,2,positive,0.3612,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.624965195327696,1
153,Shes going to the,17,4,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.41531511500347285,5
154,She says shes looking,21,4,neutral,0.0,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.7251133050101962,1
155,Ill never get there,19,4,negative,-0.4215,2,"youre, get, know, thank, ill, markl, back, tell, never, need",0.725147052489737,1
156,At least my teeth,17,4,neutral,0.0,0,"right, look, please, hes, help, fire, give, one, yes, take",0.6155072098641198,4
